Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
HDFC Retirement Savings Fund-Equity Plan-Reg(G),Srinivasan Ramamurthy,6832.1,4.73,2500000,2500000 ,2500000,2200000
HDFC Childrens Fund,Chirag Setalvad,10487.9,3.07,2485332,2485332 ,2485332,2485332
Navi Nifty 50 Index Fund-Reg(G),Ashutosh Shirwaikar,4014.7,7.97,2472480,2440834 ,2405110,2357363
Nippon India Focused Fund(G),Vinay Sharma,8531.2,3.72,2452794,1952794 ,1952794,3060167
HDFC Equity Savings Fund(G),Srinivasan Ramamurthy,5639.5,5.59,2438500,2438500 ,2438500,2438500
Bandhan Flexi Cap Fund-Reg(G),Manish Gunwani,7417.4,4.19,2400000,2400000 ,2400000,1350000
HDFC Multi-Asset Allocation Fund(G),Srinivasan Ramamurthy,5881.4,5.21,2366500,2366500 ,2366500,2366500
Nippon India Index Fund-Nifty 50 Plan(G),Himanshu Mange,3791.7,7.97,2335723,2286145 ,2251131,1995521
DSP Arbitrage Fund-Reg(G),Kaivalya Nadkarni,6529.1,4.59,2315000,1888500 ,1313000,1266500
Tata Large & Mid Cap Fund-Reg(G),Chandraprakash Padiyar,7887.0,3.77,2300000,2300000 ,2300000,2300000
DSP Large Cap Fund-Reg(G),Anish Tawakley,7190.4,4.08,2269483,2269483 ,0,0
Mirae Asset Focused Fund-Reg(G),Gaurav Misra,6575.7,4.42,2246868,0 ,0,0
SBI Equity Savings Fund-Reg(G),Nidhi Chawla,5610.1,5.17,2239662,2008162 ,2008162,2008162
Bajaj Finserv Flexi Cap Fund-Reg(G),Nimesh Chandan,7768.9,3.71,2229745,1721492 ,1481404,1481404
Canara Rob Equity Hybrid Fund-Reg(G),Ennettee Fernandes,11142.4,2.50,2150000,2150000 ,2150000,2150000
ICICI Pru Equity Minimum Variance Fund-Reg(G),Aatur Shah,2881.6,9.65,2150000,2110000 ,2110000,750000
UTI Value Fund-Reg(G),Amit Premchandani,9439.6,2.91,2125000,1925000 ,1925000,1925000
Kotak Nifty 50 ETF,Satish Dondapati,3436.1,7.97,2115526,2087285 ,2065089,2040262
ICICI Pru Manufacturing Fund(G),Roshan Chutkey,6842.5,3.95,2091439,1457544 ,1029637,924636
